name,content
A0.png,③存在0＜x0＜1，当x
A1.png,中点，点C在线段OB上
A2.png,那么∠EFC′的度数为
A3.png,∠ACB=α，CD为AB边上的中线，
A4.png,是水平和竖直状态，那么△DEF
A5.png,距离为b（b＞a），则所有
A6.png,1.问这时E队赛过机场？E
A7.png,C.①②④D.①③④
A8.png,形为平行四边形时，请直接写出m与n满足的关系式.
A9.png,美术课外兴趣小组，上
A10.png,若关于x的方程（5-m）x
A11.png,ア3cos（x-θ）（θ∈[0，π]）为偶函数，则
A12.png,（1）当n=50时，S=
A13.png,有正确结论的序号）
A14.png,M是BC的中点，ME⊥AD且交AC的
A15.png,ABCD内部旋转，在运动过程中
A16.png,海里，有一艘船从A港口出发，
A17.png,（1）焦点在x轴上
A18.png,①b-2a=0；②4a-2b
A19.png,易证：BD=DP.（无需
A20.png,某旅行团有48人.若全部住底层，每间4人.
A21.png,数量的材料，可以少付款多
A22.png,且位于点C的下方，点F在
A23.png,等.求O与A之间的距离.
A24.png,每人值班1天，若7位员工中
A25.png,27、阅读材料，数学家高斯在上学时曾经研究过
A26.png,应做成长、宽各为多少时，
A27.png,（7）点G在抛物线的对称轴上
A28.png,点E，连接BE，FE，则∠EBF
A29.png,中，若AB=ア2
A30.png,7.如图，求阴影部分面积.（单位：cm）
A31.png,已知函数f（x）=cosx·sin
A32.png,多边形的对角线条数d
A33.png,并把△AOP绕着点A逆
A34.png,a≠0）和一次函数y2=mx+n（m≠
A35.png,要求：等腰三角形的一个顶点与
A36.png,（2）试探究△ABC的外接圆的
A37.png,小华乘坐的是火车甲
A38.png,为AB中点，D为PB中点，且△PMB为正三
A39.png,（1）求证：AE⊥BD；
A40.png,29.（10分）某人去水果批发市场采
A41.png,C，D，F，G为顶点的四边
A42.png,所有商品打8折出售.设该校购
A43.png,B.a＜m＜n＜b
A44.png,点M到直线AB的距离记为h，请探究
A45.png,试判断CF与BF是否相等，
A46.png,已知抛物线上一点M（t，4），过
A47.png,答错或不答都扣1分，
A48.png,湖水的深度为2m
A49.png,进其中两种不同型号的
A50.png,（2）求证：f（x）为R上的减函数；
A51.png,种说法：①若AM=MB，则M是
A52.png,段CF上（点E与点C不重合）
A53.png,型号的甲、乙、丙、丁相机（焦距
A54.png,两商场的用户满意度分
A55.png,与3sinx的大小关系是
A56.png,是抛物线上的一个动点
A57.png,B及它的影长AE；
A58.png,-b）；其中所有正确的结论是
A59.png,（件）之间关系如下表：
A60.png,其横坐标分别是a和3a，
A61.png,若AC=ア17，
A62.png,点A（0，a）、B（b，0）且
A63.png,获得的利润最大？最大
A64.png,a=60°时，求CE的长
A65.png,请直接写出CC′的长
A66.png,过点P任意作一条与y轴不平行
A67.png,利44元，那么这批凉拖
A68.png,图为等腰直角三角形.
A69.png,A.（0，0）
A70.png,3m的温室外墙，其南面
A71.png,三角形ABC内有一点P，
A72.png,其前n项和为Tn，求Tn
A73.png,郑郑用电脑编辑了一个运算程序：
A74.png,以每秒2个单位的速度沿射线
A75.png,形周长为16，求此三角形面积
A76.png,动后指针所指扇形内的数字
A77.png,每小时x千米，小明的速度
A78.png,么m的取值范围是（
A79.png,且价格相同，但某
A80.png,M是DA延长线上的一点，连结M
A81.png,为1000元；经粗加工后销售，每
A82.png,上面所得到的相关结论）
A83.png,个单位长度的速度沿数轴向左
A84.png,请说明理由；
A85.png,若只在国外销售，销售价格
A86.png,如图①，此时点C与点D重合
A87.png,y1与x之间的函数表达式；
A88.png,否落在抛物线上，并说明理由.
A89.png,则线段EF的最小值为
A90.png,了变化，根据此现象，下列
A91.png,驾驶员与车头的距离是0.8米，
A92.png,（2）在图②中画出（1）中函数的图像.
A93.png,0（a≠0）根的情况，下列说法正确
A94.png,18.在平面直角坐标系xO
A95.png,接于半圆，若小正方形的
A96.png,F.连接EC交BD于点G
A97.png,已知数轴上点A表示的数为-26
A98.png,对区间[p，q]的任意划分
A99.png,整式mA+B的值相等.
A100.png,件商品仍能获得10%的
A101.png,求m，n的取值范围.
A102.png,D的坐标；若不存
A103.png,边长为5的等边△AOB的
A104.png,2.已知a=log23.6，b=log43.2
A105.png,求抛物线的解析式及顶点D
A106.png,完全符合要求个数
A107.png,B边上的点E处，求△AE
A108.png,小三角形边长是大三角形
A109.png,元，T恤需付款
A110.png,你认为哪位同学方案正确？并证明其正确性.
A111.png,求△POA的面积S关
A112.png,③从四面体ABCD每个顶
A113.png,（2）当4≤x≤10时
A114.png,存在，请求出a的值，若不
A115.png,组成的几何体.
A116.png,BD相交于点P.已
A117.png,心，AB为半径的圆弧
A118.png,的“梦之星”抛物线和
A119.png,随身听的单价比书包单价的4倍少8元
A120.png,个三角形，折痕为BD，（点D
A121.png,某长途汽车客运公司规定旅客可
A122.png,BC的垂直平分线；
A123.png,（3）判断上市第几天国内、
A124.png,件？原计划几天完成？
A125.png,x+y+1=0上，反射后，
A126.png,12.已知二次函数y=ax2
A127.png,使（→OP+→OF2）·→F2P=0，
A128.png,连接AC，BC，CD，
